symbol,value,desc,r,g,b,hex_color
0,11,"Urban",168,0,0,"#A80000"
1,12,"Mixed settlements",255,0,0,"#FF0000"
2,21,"Rice villages",0,112,255,"#0070FF"
3,22,"Irrigated villages",0,169,230,"#00A9E6"
4,23,"Rainfed villages",169,0,230,"#A900E6"
5,24,"Pastoral villages",255,115,223,"#FF73DF"
6,31,"Residential irrigated croplands",0,255,197,"#00FFC5"
7,32,"Residential rainfed croplands",230,230,0,"#E6E600"
8,33,"Populated croplands",255,255,115,"#FFFF73"
9,34,"Remote croplands",255,255,190,"#FFFFBE"
10,41,"Residential rangelands",230,152,0,"#E69800"
11,42,"Populated rangelands",255,211,127,"#FFD37F"
12,43,"Remote rangelands",255,235,175,"#FFEBAF"
13,51,"Residential woodlands",56,168,0,"#38A800"
14,52,"Populated woodlands",165,245,122,"#A5F57A"
15,53,"Remote woodlands",211,255,178,"#D3FFB2"
16,54,"Inhabited drylands",217,189,117,"#D9BD75"
17,61,"Wild woodlands",218,242,234,"#DAF2EA"
18,62,"Wild drylands",225,225,225,"#E1E1E1"
19,63,"Ice",250,255,255,"#FAFFFF"
20,0,"",205,187,84,"#CDBB54"
